X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
13632,12191,11788,9994,13094,11948,13695,13802,14518,12001,10994,10379,11749
12191,11788,9994,13094,11948,13695,13802,14518,12001,10994,10379,11984,12156
11788,9994,13094,11948,13695,13802,14518,12001,10994,10379,11984,11434,10827
9994,13094,11948,13695,13802,14518,12001,10994,10379,11984,11434,11749,8242
13094,11948,13695,13802,14518,12001,10994,10379,11984,11434,11749,12156,8700
11948,13695,13802,14518,12001,10994,10379,11984,11434,11749,12156,10827,8776
13695,13802,14518,12001,10994,10379,11984,11434,11749,12156,10827,8242,8435
13802,14518,12001,10994,10379,11984,11434,11749,12156,10827,8242,8700,9869
14518,12001,10994,10379,11984,11434,11749,12156,10827,8242,8700,8776,8844
12001,10994,10379,11984,11434,11749,12156,10827,8242,8700,8776,8435,6765
10994,10379,11984,11434,11749,12156,10827,8242,8700,8776,8435,9869,6462
10379,11984,11434,11749,12156,10827,8242,8700,8776,8435,9869,8844,10029
11984,11434,11749,12156,10827,8242,8700,8776,8435,9869,8844,6765,9687
11434,11749,12156,10827,8242,8700,8776,8435,9869,8844,6765,6462,9039
11749,12156,10827,8242,8700,8776,8435,9869,8844,6765,6462,10029,10614
12156,10827,8242,8700,8776,8435,9869,8844,6765,6462,10029,9687,8054
10827,8242,8700,8776,8435,9869,8844,6765,6462,10029,9687,9039,7300
8242,8700,8776,8435,9869,8844,6765,6462,10029,9687,9039,10614,10180
8700,8776,8435,9869,8844,6765,6462,10029,9687,9039,10614,8054,9775
8776,8435,9869,8844,6765,6462,10029,9687,9039,10614,8054,7300,7533
8435,9869,8844,6765,6462,10029,9687,9039,10614,8054,7300,10180,8493
9869,8844,6765,6462,10029,9687,9039,10614,8054,7300,10180,9775,8232
8844,6765,6462,10029,9687,9039,10614,8054,7300,10180,9775,7533,6208
6765,6462,10029,9687,9039,10614,8054,7300,10180,9775,7533,8493,5560
6462,10029,9687,9039,10614,8054,7300,10180,9775,7533,8493,8232,6680
10029,9687,9039,10614,8054,7300,10180,9775,7533,8493,8232,6208,5712
9687,9039,10614,8054,7300,10180,9775,7533,8493,8232,6208,5560,6808
9039,10614,8054,7300,10180,9775,7533,8493,8232,6208,5560,6680,7264
10614,8054,7300,10180,9775,7533,8493,8232,6208,5560,6680,5712,6971
8054,7300,10180,9775,7533,8493,8232,6208,5560,6680,5712,6808,5767
7300,10180,9775,7533,8493,8232,6208,5560,6680,5712,6808,7264,5826
10180,9775,7533,8493,8232,6208,5560,6680,5712,6808,7264,6971,6894
9775,7533,8493,8232,6208,5560,6680,5712,6808,7264,6971,5767,6389
7533,8493,8232,6208,5560,6680,5712,6808,7264,6971,5767,5826,5633
8493,8232,6208,5560,6680,5712,6808,7264,6971,5767,5826,6894,5144
8232,6208,5560,6680,5712,6808,7264,6971,5767,5826,6894,6389,6412
6208,5560,6680,5712,6808,7264,6971,5767,5826,6894,6389,5633,4607
5560,6680,5712,6808,7264,6971,5767,5826,6894,6389,5633,5144,4714
6680,5712,6808,7264,6971,5767,5826,6894,6389,5633,5144,6412,5589
5712,6808,7264,6971,5767,5826,6894,6389,5633,5144,6412,4607,5414
6808,7264,6971,5767,5826,6894,6389,5633,5144,6412,4607,4714,6825
7264,6971,5767,5826,6894,6389,5633,5144,6412,4607,4714,5589,6570
6971,5767,5826,6894,6389,5633,5144,6412,4607,4714,5589,5414,6279
5767,5826,6894,6389,5633,5144,6412,4607,4714,5589,5414,6825,5656
5826,6894,6389,5633,5144,6412,4607,4714,5589,5414,6825,6570,4396
6894,6389,5633,5144,6412,4607,4714,5589,5414,6825,6570,6279,5744
6389,5633,5144,6412,4607,4714,5589,5414,6825,6570,6279,5656,5297
5633,5144,6412,4607,4714,5589,5414,6825,6570,6279,5656,4396,5227
5144,6412,4607,4714,5589,5414,6825,6570,6279,5656,4396,5744,6107
6412,4607,4714,5589,5414,6825,6570,6279,5656,4396,5744,5297,4982
4607,4714,5589,5414,6825,6570,6279,5656,4396,5744,5297,5227,4461
4714,5589,5414,6825,6570,6279,5656,4396,5744,5297,5227,6107,4083
5589,5414,6825,6570,6279,5656,4396,5744,5297,5227,6107,4982,5008
5414,6825,6570,6279,5656,4396,5744,5297,5227,6107,4982,4461,4682
6825,6570,6279,5656,4396,5744,5297,5227,6107,4982,4461,4083,5937
6570,6279,5656,4396,5744,5297,5227,6107,4982,4461,4083,5008,6142
6279,5656,4396,5744,5297,5227,6107,4982,4461,4083,5008,4682,5325
5656,4396,5744,5297,5227,6107,4982,4461,4083,5008,4682,5937,4345
4396,5744,5297,5227,6107,4982,4461,4083,5008,4682,5937,6142,6731
5744,5297,5227,6107,4982,4461,4083,5008,4682,5937,6142,5325,3712
5297,5227,6107,4982,4461,4083,5008,4682,5937,6142,5325,4345,4549
5227,6107,4982,4461,4083,5008,4682,5937,6142,5325,4345,6731,4860
6107,4982,4461,4083,5008,4682,5937,6142,5325,4345,6731,3712,5504
4982,4461,4083,5008,4682,5937,6142,5325,4345,6731,3712,4549,5265
4461,4083,5008,4682,5937,6142,5325,4345,6731,3712,4549,4860,4723
4083,5008,4682,5937,6142,5325,4345,6731,3712,4549,4860,5504,4127
